cigar_slug,vitola_slug,strength,aroma_tags,source_url,note
davidoff-grand-cru-n-2,,leger,chene|reglisse,https://us.davidoffgeneva.com/product/davidoff-grand-cru-no-2,"texte du fabricant : « a mild yet complex taste experience with notes of oak wood, liquorice and fresh spice » — mild → léger ; oak wood → chêne, liquorice → réglisse ; « fresh spice » est une famille de la roue, laissée vide"
davidoff-gc-n-2,,leger,chene|reglisse,https://us.davidoffgeneva.com/product/davidoff-grand-cru-no-2,"GC = Grand Cru (fiche de l’arrêté) ; texte du fabricant : « a mild yet complex taste experience with notes of oak wood, liquorice and fresh spice » — mild → léger ; oak wood → chêne, liquorice → réglisse ; « fresh spice » est une famille de la roue, laissée vide"
davidoff-gc-n-3,,leger,,https://us.davidoffgeneva.com/product/davidoff-grand-cru-no-3,GC = Grand Cru ; texte du fabricant : « a mild yet complex taste experience » — mild → léger ; aucune note d’arôme sur la page
davidoff-grand-cru-n-5,,,chene|reglisse,https://us.davidoffgeneva.com/product/davidoff-grand-cru-no-5,"texte du fabricant : « notes of oak wood, liquorice and fresh spice » — chêne, réglisse ; « fresh spice » est une famille, laissée vide ; aucun mot de force sur la page"
davidoff-gc-n-5,,,chene|reglisse,https://us.davidoffgeneva.com/product/davidoff-grand-cru-no-5,"GC = Grand Cru ; texte du fabricant : « notes of oak wood, liquorice and fresh spice » — chêne, réglisse ; « fresh spice » est une famille, laissée vide ; aucun mot de force sur la page"
davidoff-aniversario-n-3,,,cafe,https://us.davidoffgeneva.com/product/davidoff-aniversario-no-3,"texte du fabricant : « a fuller-bodied cigar … notes of coffee and wood » — café ; « wood » est une famille, laissée vide ; « fuller-bodied » est un comparatif, pas un cran de l’échelle : force laissée vide"
davidoff-aniversario-n-3-tubos,,,cafe,https://us.davidoffgeneva.com/product/davidoff-aniversario-no-3,"même cigare, en tube ; texte du fabricant : « a fuller-bodied cigar … notes of coffee and wood » — café ; « wood » est une famille, laissée vide ; « fuller-bodied » est un comparatif, pas un cran de l’échelle : force laissée vide"
davidoff-millenium-robusto,,moyen,,https://us.davidoffgeneva.com/product/davidoff-millennium-robusto,texte du fabricant : « a medium-intense enjoyment » — moyen ; aucune note d’arôme sur la page ; orthographe du fabricant : Millennium
davidoff-millenium-toro,,moyen,,https://us.davidoffgeneva.com/product/davidoff-millennium-toro,texte du fabricant : « a medium-intense enjoyment » — moyen ; aucune note d’arôme sur la page ; orthographe du fabricant : Millennium
davidoff-millenium-petit-corona,,moyen,,https://us.davidoffgeneva.com/product/davidoff-millennium-petit-corona,"texte du fabricant : « a complex, yet refined medium-intense cigar » — moyen ; aucune note d’arôme sur la page ; orthographe du fabricant : Millennium"
davidoff-nicaragua-toro,,,cafe|cuir,https://us.davidoffgeneva.com/product/davidoff-nicaragua-toro,"texte du fabricant : « notes of spice, roasted coffee and leather » — café, cuir ; « spice » est une famille, laissée vide ; aucun mot de force sur la page"
davidoff-nicaragua-robusto,,,cafe|cuir,https://us.davidoffgeneva.com/product/davidoff-nicaragua-robusto,"texte du fabricant : « notes of spice, roasted coffee and leather » — café, cuir ; « spice » est une famille, laissée vide ; aucun mot de force sur la page"
davidoff-nicaragua-robusto-tubos,,,cafe|cuir,https://us.davidoffgeneva.com/product/davidoff-nicaragua-robusto,"même cigare, en tube ; texte du fabricant : « notes of spice, roasted coffee and leather » — café, cuir ; « spice » est une famille, laissée vide ; aucun mot de force sur la page"
davidoff-escurio-robusto,,moyen,chene|chocolat-noir,https://us.davidoffgeneva.com/product/davidoff-escurio-robusto,"texte du fabricant : « a taste experience of medium intensity and notes of oak wood, dark chocolate and fresh pepper » — moyen ; chêne, chocolat noir ; « fresh pepper » sans couleur ne désigne ni poivre noir ni poivre blanc, laissé vide"
davidoff-escurio-robusto-tubos,,moyen,chene|chocolat-noir,https://us.davidoffgeneva.com/product/davidoff-escurio-robusto,"même cigare, en tube ; texte du fabricant : « a taste experience of medium intensity and notes of oak wood, dark chocolate and fresh pepper » — moyen ; chêne, chocolat noir ; « fresh pepper » sans couleur ne désigne ni poivre noir ni poivre blanc, laissé vide"
davidoff-escurio-gran-perfecto,,,chene|chocolat-noir,https://us.davidoffgeneva.com/product/davidoff-escurio-gran-perfecto,"texte du fabricant : « notes of oak wood, dark chocolate and fresh pepper » — chêne, chocolat noir ; « fresh pepper » laissé vide ; aucun mot de force sur la page"
davidoff-yamasa-robusto-eu,,,cuir|cedre,https://us.davidoffgeneva.com/product/davidoff-yamasa-robusto,"texte du fabricant : « notes of spice, leather and cedar wood » — cuir, cèdre ; « spice » est une famille, laissée vide ; « intense » n’est pas un cran de l’échelle : force laissée vide"
davidoff-puro-dominicano-short-robusto,,corse,,https://us.davidoffgeneva.com/product/davidoff-puro-dominicano-short-robusto,texte du fabricant : « a full-bodied Dominican puro » — corsé ; aucune note d’arôme sur la page
davidoff-signature-6000,,,cedre,https://us.davidoffgeneva.com/product/davidoff-signature-6000,"texte du fabricant : « notes of barley, cream and cedar wood » — cèdre ; barley et cream n’ont pas de descripteur dans la roue, laissés vides ; aucun mot de force sur la page"
arturo-fuente-gran-reserva-rothschilds,rothschild,,,https://www.arturofuente.com/_download/AF_catalog_EN.pdf,"catalogue du fabricant, p. 5 : Gran Reserva « Rothschild 4 1/2 × 50 — 114 mm », le format conventionnel Rothschild 50 × 114 de la base ; aucun mot de force ni note d’arôme du fabricant (les citations du catalogue sont des revues tierces, non reprises)"
arturo-fuente-gran-reserva-rotschild,rothschild,,,https://www.arturofuente.com/_download/AF_catalog_EN.pdf,"catalogue du fabricant, p. 5 : Gran Reserva « Rothschild 4 1/2 × 50 — 114 mm », le format conventionnel Rothschild 50 × 114 de la base ; aucun mot de force ni note d’arôme du fabricant (les citations du catalogue sont des revues tierces, non reprises)"
arturo-fuente-gran-reserva-rotschild-mad,rothschild,,,https://www.arturofuente.com/_download/AF_catalog_EN.pdf,"catalogue du fabricant, p. 5 : Gran Reserva « Rothschild 4 1/2 × 50 — 114 mm », le format conventionnel Rothschild 50 × 114 de la base ; aucun mot de force ni note d’arôme du fabricant (les citations du catalogue sont des revues tierces, non reprises) ; cape maduro, non proposée"
arturo-fuente-chateau-fuente,rothschild,,,https://www.arturofuente.com/_download/AF_catalog_EN.pdf,"catalogue du fabricant, p. 6 : « Chateau Fuente 4 1/2 × 50 — 114 mm », le format conventionnel Rothschild 50 × 114 de la base (la vitole porte le nom de la gamme au catalogue) ; aucun mot de force ni note d’arôme"
arturo-fuente-chateau-fuente-sg,rothschild,,,https://www.arturofuente.com/_download/AF_catalog_EN.pdf,"catalogue du fabricant, p. 6 : « Chateau Fuente 4 1/2 × 50 — 114 mm », le format conventionnel Rothschild 50 × 114 de la base (la vitole porte le nom de la gamme au catalogue) ; aucun mot de force ni note d’arôme ; cape sun grown, non proposée"
arturo-fuente-oro-rosado-magnum-r-super-sixty,gordo,,,https://www.arturofuente.com/_download/AF_catalog_EN.pdf,"catalogue du fabricant, p. 7 : Magnum R « Super 60 6 × 60 — 152 mm », le format conventionnel Gordo 60 × 152 de la base ; aucun mot de force ni note d’arôme"
arturo-fuente-rosado-magnum-r-super-sixty-rsg,gordo,,,https://www.arturofuente.com/_download/AF_catalog_EN.pdf,"catalogue du fabricant, p. 7 : Magnum R « Super 60 6 × 60 — 152 mm », le format conventionnel Gordo 60 × 152 de la base ; aucun mot de force ni note d’arôme"
arturo-fuente-destino-al-siglo-de-amistad,,corse,,https://www.arturofuente.com/_download/AF_catalog_EN.pdf,"catalogue du fabricant, p. 15 : « Destino al Siglo will delight those who prefer a full-flavor, robust smoke » — corsé ; aucune note d’arôme ; cotes publiées sans équivalent exact dans la base"
arturo-fuente-destino-al-siglo-de-amor,,corse,,https://www.arturofuente.com/_download/AF_catalog_EN.pdf,"catalogue du fabricant, p. 15 : « Destino al Siglo will delight those who prefer a full-flavor, robust smoke » — corsé ; aucune note d’arôme ; cotes publiées sans équivalent exact dans la base"
arturo-fuente-destino-al-siglo-de-familias,,corse,,https://www.arturofuente.com/_download/AF_catalog_EN.pdf,"catalogue du fabricant, p. 15 : « Destino al Siglo will delight those who prefer a full-flavor, robust smoke » — corsé ; aucune note d’arôme ; cotes publiées sans équivalent exact dans la base"
arturo-fuente-destino-al-siglo-de-passion,,corse,,https://www.arturofuente.com/_download/AF_catalog_EN.pdf,"catalogue du fabricant, p. 15 : « Destino al Siglo will delight those who prefer a full-flavor, robust smoke » — corsé ; aucune note d’arôme ; cotes publiées sans équivalent exact dans la base"
padron-series-2000,,moyen_corse,,https://padron.com/padron-series/,"page de la série sur le site du fabricant : « fifteen medium- to full-bodied, long-filler cigars … A beautifully balanced and full-bodied smoke » — la fourchette medium à full → moyen-corsé, comme « medio a fuerte » chez Habanos ; aucune note d’arôme publiée ; cotes sans équivalent exact dans la base"
padron-series-2000-maduro,,moyen_corse,,https://padron.com/padron-series/,"page de la série sur le site du fabricant : « fifteen medium- to full-bodied, long-filler cigars … A beautifully balanced and full-bodied smoke » — la fourchette medium à full → moyen-corsé, comme « medio a fuerte » chez Habanos ; aucune note d’arôme publiée ; cotes sans équivalent exact dans la base"
padron-series-4000,,moyen_corse,,https://padron.com/padron-series/,"page de la série sur le site du fabricant : « fifteen medium- to full-bodied, long-filler cigars … A beautifully balanced and full-bodied smoke » — la fourchette medium à full → moyen-corsé, comme « medio a fuerte » chez Habanos ; aucune note d’arôme publiée ; cotes sans équivalent exact dans la base"
padron-series-4000-maduro,,moyen_corse,,https://padron.com/padron-series/,"page de la série sur le site du fabricant : « fifteen medium- to full-bodied, long-filler cigars … A beautifully balanced and full-bodied smoke » — la fourchette medium à full → moyen-corsé, comme « medio a fuerte » chez Habanos ; aucune note d’arôme publiée ; cotes sans équivalent exact dans la base"
padron-series-5000,,moyen_corse,,https://padron.com/padron-series/,"page de la série sur le site du fabricant : « fifteen medium- to full-bodied, long-filler cigars … A beautifully balanced and full-bodied smoke » — la fourchette medium à full → moyen-corsé, comme « medio a fuerte » chez Habanos ; aucune note d’arôme publiée ; cotes sans équivalent exact dans la base"
padron-series-5000-maduro,,moyen_corse,,https://padron.com/padron-series/,"page de la série sur le site du fabricant : « fifteen medium- to full-bodied, long-filler cigars … A beautifully balanced and full-bodied smoke » — la fourchette medium à full → moyen-corsé, comme « medio a fuerte » chez Habanos ; aucune note d’arôme publiée ; cotes sans équivalent exact dans la base"
padron-series-7000,,moyen_corse,,https://padron.com/padron-series/,"page de la série sur le site du fabricant : « fifteen medium- to full-bodied, long-filler cigars … A beautifully balanced and full-bodied smoke » — la fourchette medium à full → moyen-corsé, comme « medio a fuerte » chez Habanos ; aucune note d’arôme publiée ; cotes sans équivalent exact dans la base"
padron-series-7000-maduro,,moyen_corse,,https://padron.com/padron-series/,"page de la série sur le site du fabricant : « fifteen medium- to full-bodied, long-filler cigars … A beautifully balanced and full-bodied smoke » — la fourchette medium à full → moyen-corsé, comme « medio a fuerte » chez Habanos ; aucune note d’arôme publiée ; cotes sans équivalent exact dans la base"
padron-1926-n-2-maduro,,corse,,https://padron.com/padron-1926-serie/,"page de la série sur le site du fabricant : « an exceptionally smooth, complex, balanced and full-bodied flavor » — corsé ; aucune note d’arôme publiée ; cotes sans équivalent exact dans la base"
padron-1926-80-years,,corse,,https://padron.com/padron-1926-serie/,"page de la série sur le site du fabricant : « an exceptionally smooth, complex, balanced and full-bodied flavor » — corsé ; aucune note d’arôme publiée ; cotes sans équivalent exact dans la base ; « 80 years » = 1926 Serie No 80 (54 × 6 3/4)"
padron-1926-80-years-maduro,,corse,,https://padron.com/padron-1926-serie/,"page de la série sur le site du fabricant : « an exceptionally smooth, complex, balanced and full-bodied flavor » — corsé ; aucune note d’arôme publiée ; cotes sans équivalent exact dans la base ; « 80 years » = 1926 Serie No 80 (54 × 6 3/4)"
padron-1926-n-2,,corse,,https://padron.com/padron-1926-serie/,"page de la série sur le site du fabricant : « an exceptionally smooth, complex, balanced and full-bodied flavor » — corsé ; aucune note d’arôme publiée ; cotes sans équivalent exact dans la base"
padron-1926-n-48,,corse,,https://padron.com/padron-1926-serie/,"page de la série sur le site du fabricant : « an exceptionally smooth, complex, balanced and full-bodied flavor » — corsé ; aucune note d’arôme publiée ; cotes sans équivalent exact dans la base"
padron-1926-n-6,,corse,,https://padron.com/padron-1926-serie/,"page de la série sur le site du fabricant : « an exceptionally smooth, complex, balanced and full-bodied flavor » — corsé ; aucune note d’arôme publiée ; cotes sans équivalent exact dans la base"
padron-1926-n-9,,corse,,https://padron.com/padron-1926-serie/,"page de la série sur le site du fabricant : « an exceptionally smooth, complex, balanced and full-bodied flavor » — corsé ; aucune note d’arôme publiée ; cotes sans équivalent exact dans la base"
padron-family-reserve-50,,corse,,https://padron.com/padron-family-reserve/,"page de la série sur le site du fabricant : « an exceptionally smooth, complex, balanced and full-bodied flavor » — corsé ; aucune note d’arôme publiée ; cotes sans équivalent exact dans la base"
padron-family-reserve-50-maduro,,corse,,https://padron.com/padron-family-reserve/,"page de la série sur le site du fabricant : « an exceptionally smooth, complex, balanced and full-bodied flavor » — corsé ; aucune note d’arôme publiée ; cotes sans équivalent exact dans la base"
padron-family-reserve-95,,corse,,https://padron.com/padron-family-reserve/,"page de la série sur le site du fabricant : « an exceptionally smooth, complex, balanced and full-bodied flavor » — corsé ; aucune note d’arôme publiée ; cotes sans équivalent exact dans la base"
padron-family-reserve-95-maduro,,corse,,https://padron.com/padron-family-reserve/,"page de la série sur le site du fabricant : « an exceptionally smooth, complex, balanced and full-bodied flavor » — corsé ; aucune note d’arôme publiée ; cotes sans équivalent exact dans la base"
oliva-serie-v-belicoso,,,cafe|chocolat-noir,https://olivacigar.com/cigars/serie-v/,"page de la gamme sur le site du fabricant : « rich coffee and dark chocolate tones. A subtle and well balanced spice is present throughout » — café, chocolat noir ; « spice » est une famille, laissée vide ; aucun mot de force sur la page"
oliva-serie-v-churchill-extra,,,cafe|chocolat-noir,https://olivacigar.com/cigars/serie-v/,"page de la gamme sur le site du fabricant : « rich coffee and dark chocolate tones. A subtle and well balanced spice is present throughout » — café, chocolat noir ; « spice » est une famille, laissée vide ; aucun mot de force sur la page"
oliva-serie-v-double-robusto,,,cafe|chocolat-noir,https://olivacigar.com/cigars/serie-v/,"page de la gamme sur le site du fabricant : « rich coffee and dark chocolate tones. A subtle and well balanced spice is present throughout » — café, chocolat noir ; « spice » est une famille, laissée vide ; aucun mot de force sur la page"
oliva-serie-v-figurado,,,cafe|chocolat-noir,https://olivacigar.com/cigars/serie-v/,"page de la gamme sur le site du fabricant : « rich coffee and dark chocolate tones. A subtle and well balanced spice is present throughout » — café, chocolat noir ; « spice » est une famille, laissée vide ; aucun mot de force sur la page"
oliva-serie-v-lancero,,,cafe|chocolat-noir,https://olivacigar.com/cigars/serie-v/,"page de la gamme sur le site du fabricant : « rich coffee and dark chocolate tones. A subtle and well balanced spice is present throughout » — café, chocolat noir ; « spice » est une famille, laissée vide ; aucun mot de force sur la page"
oliva-serie-v-n-4,,,cafe|chocolat-noir,https://olivacigar.com/cigars/serie-v/,"page de la gamme sur le site du fabricant : « rich coffee and dark chocolate tones. A subtle and well balanced spice is present throughout » — café, chocolat noir ; « spice » est une famille, laissée vide ; aucun mot de force sur la page"
oliva-serie-v-torpedo,,,cafe|chocolat-noir,https://olivacigar.com/cigars/serie-v/,"page de la gamme sur le site du fabricant : « rich coffee and dark chocolate tones. A subtle and well balanced spice is present throughout » — café, chocolat noir ; « spice » est une famille, laissée vide ; aucun mot de force sur la page"
oliva-serie-v-double-toro,gordo,,cafe|chocolat-noir,https://olivacigar.com/cigars/serie-v/,"page de la gamme sur le site du fabricant : « rich coffee and dark chocolate tones. A subtle and well balanced spice is present throughout » — café, chocolat noir ; « spice » est une famille, laissée vide ; aucun mot de force sur la page ; « 6 x 60 Double Toro » = le format conventionnel Gordo 60 × 152 de la base"
oliva-serie-v-double-toro-maduro,gordo,,,https://olivacigar.com/cigars/serie-v-maduro/,page de la gamme sur le site du fabricant : « 6 x 60 Double Toro » = le format conventionnel Gordo 60 × 152 de la base ; ni mot de force ni note d’arôme transcriptible (« sweet and spicy » sont des familles)
oliva-serie-v-melanio-double-toro,gordo,,,https://olivacigar.com/cigars/serie-v-melanio/,page de la gamme sur le site du fabricant : « 6x60 Double Toro » = le format conventionnel Gordo 60 × 152 de la base ; ni mot de force ni note d’arôme sur la page
oliva-serie-v-melanio-maduro-double-toro,gordo,,,https://olivacigar.com/cigars/serie-v-melanio-maduro/,page de la gamme sur le site du fabricant : « 6x60 Double Toro » = le format conventionnel Gordo 60 × 152 de la base ; ni mot de force ni note d’arôme sur la page
oliva-serie-g-special-g,,moyen,cedre|cafe,https://olivacigar.com/cigars/serie-g/,"page de la gamme sur le site du fabricant : « a medium body blend … notes of cedar and coffee » — moyen ; cèdre, café"
oliva-serie-g-churchill,,moyen,cedre|cafe,https://olivacigar.com/cigars/serie-g/,"page de la gamme sur le site du fabricant : « a medium body blend … notes of cedar and coffee » — moyen ; cèdre, café"
oliva-serie-g-double-robusto,,moyen,cedre|cafe,https://olivacigar.com/cigars/serie-g/,"page de la gamme sur le site du fabricant : « a medium body blend … notes of cedar and coffee » — moyen ; cèdre, café"
oliva-serie-g-toro,,moyen,cedre|cafe,https://olivacigar.com/cigars/serie-g/,"page de la gamme sur le site du fabricant : « a medium body blend … notes of cedar and coffee » — moyen ; cèdre, café"
